pfs_visit_id,arm,sps_module_id,pfs_design_id,time_exp_start
84396,b,1,3940907130413629120,2022-12-29 01:24:22.850343
84397,r,1,3940907130413629120,2022-12-29 01:45:19.008839
84397,b,1,3940907130413629120,2022-12-29 01:45:19.008839
84398,r,1,3940907130413629120,2022-12-29 02:06:15.747305
84398,b,1,3940907130413629120,2022-12-29 02:06:15.747305
84399,r,1,3940907130413629120,2022-12-29 02:27:11.910167
84399,b,1,3940907130413629120,2022-12-29 02:27:11.910167
84400,r,1,3940907130413629120,2022-12-29 02:48:08.104658
84400,b,1,3940907130413629120,2022-12-29 02:48:08.104658
84401,r,1,3940907130413629120,2022-12-29 03:09:04.516424
84401,b,1,3940907130413629120,2022-12-29 03:09:04.516424
84402,r,1,3940907130413629120,2022-12-29 03:30:00.683399
84402,b,1,3940907130413629120,2022-12-29 03:30:00.683399
84403,r,1,3940907130413629120,2022-12-29 03:50:57.171333
84403,b,1,3940907130413629120,2022-12-29 03:50:57.171333
84404,r,1,3940907130413629120,2022-12-29 04:11:53.176087
84404,b,1,3940907130413629120,2022-12-29 04:11:53.176087
84405,r,1,3940907130413629120,2022-12-29 04:32:49.307309
84405,b,1,3940907130413629120,2022-12-29 04:32:49.307309
84406,r,1,3940907130413629120,2022-12-29 05:00:18.327586
84406,b,1,3940907130413629120,2022-12-29 05:00:18.327586
84407,r,1,3940907130413629120,2022-12-29 05:21:15.190257
84407,b,1,3940907130413629120,2022-12-29 05:21:15.190257
84408,r,1,3940907130413629120,2022-12-29 05:42:11.531143
84408,b,1,3940907130413629120,2022-12-29 05:42:11.531143
84409,r,1,3940907130413629120,2022-12-29 06:03:07.724178
84409,b,1,3940907130413629120,2022-12-29 06:03:07.724178
84410,r,1,3940907130413629120,2022-12-29 06:24:05.087976
84410,b,1,3940907130413629120,2022-12-29 06:24:05.087976
84411,r,1,3940907130413629120,2022-12-29 18:52:13.579523
84411,b,1,3940907130413629120,2022-12-29 18:52:13.579523
84412,r,1,3940907130413629120,2022-12-29 18:54:15.738882
84412,b,1,3940907130413629120,2022-12-29 18:54:15.738882
84413,r,1,3940907130413629120,2022-12-29 19:15:12.047429
