84727, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 10:01:10.615865
84727, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 10:01:16.813917
84728, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 10:02:06.245197
84728, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 10:02:06.186562
84728, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 10:02:12.475119
84729, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 10:03:03.052828
84729, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 10:03:02.956029
84729, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 10:03:09.227395
84730, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 10:06:28.444072
84730, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 10:06:28.556992
84730, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 10:06:34.6936
84731, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 10:09:54.36491
84731, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 10:09:54.38605
84731, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 10:10:00.542912
84732, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 12:00:14.187413
84732, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 12:00:14.295076
84732, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 12:00:20.447142
84733, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 12:01:09.485909
84733, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 12:01:09.372146
84733, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 12:01:15.596239
84734, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 12:02:05.086046
84734, b, 3, b3, 0x36b0ea27c11bbec0, 2023-01-06 12:02:05.05215
84734, r, 1, r1, 0x36b0ea27c11bbec0, 2023-01-06 12:02:11.237118
84735, r, 3, r3, 0x36b0ea27c11bbec0, 2023-01-06 12:03:01.689816
