visit,taiObs,dataType,scale,rate
36188,2022-05-17T22:21:59.195,FLAT,7.5,3.764
35971,2022-05-17T12:23:33.644,COMPARISON,7.3,2.414
36626,2022-05-18T17:08:09.669,COMPARISON,39.1,5.225
35342,2022-05-02T09:58:03.738,COMPARISON,0.0,0.004
35488,2022-05-06T10:25:45.142,COMPARISON,0.1,0.035
34239,2022-04-25T17:09:18.589,COMPARISON,2.4,0.791
35745,2022-05-11T07:59:55.268,COMPARISON,20.5,0.684
36554,2022-05-18T14:27:27.190,COMPARISON,7.1,3.55
36470,2022-05-18T12:56:53.734,FLAT,8.8,4.402
34384,2022-04-26T17:39:23.655,COMPARISON,5.5,2.731
36310,2022-05-18T01:45:22.926,COMPARISON,7.0,3.485
36116,2022-05-17T19:47:29.343,COMPARISON,4.1,2.046
34312,2022-04-26T12:31:14.137,COMPARISON,17.7,17.611
35840,2022-05-14T11:30:16.054,DARK,438.1,1.46
36189,2022-05-17T22:22:57.377,FLAT,7.4,3.683
36627,2022-05-18T17:09:14.655,COMPARISON,40.9,5.456
35972,2022-05-17T12:24:36.220,COMPARISON,7.1,2.371
34240,2022-04-25T17:10:20.510,COMPARISON,2.4,0.809
35746,2022-05-11T08:07:10.889,COMPARISON,20.8,0.692
36555,2022-05-18T14:28:56.482,COMPARISON,6.8,3.408
36471,2022-05-18T12:57:54.635,FLAT,9.7,4.828
34385,2022-04-26T17:40:21.442,COMPARISON,5.6,2.815
36311,2022-05-18T01:46:24.011,COMPARISON,7.0,3.48
36117,2022-05-17T19:48:29.727,COMPARISON,4.1,2.039
34313,2022-04-26T14:12:21.240,COMPARISON,10.2,2.556
35841,2022-05-14T11:36:12.593,DARK,480.3,1.601
36190,2022-05-17T22:23:55.259,FLAT,7.4,3.686
35973,2022-05-17T12:25:41.007,COMPARISON,7.3,2.427
35490,2022-05-06T10:27:42.983,COMPARISON,0.1,0.048
35747,2022-05-11T08:08:47.698,COMPARISON,20.3,0.677
34241,2022-04-25T17:13:52.234,DARK,462.1,1.54
36556,2022-05-18T14:29:57.377,COMPARISON,7.5,3.74
36472,2022-05-18T12:58:55.531,FLAT,9.2,4.566
34386,2022-04-26T17:41:19.325,COMPARISON,5.4,2.703
36312,2022-05-18T01:47:25.103,COMPARISON,7.0,3.484
36118,2022-05-17T19:49:30.208,COMPARISON,3.9,1.967
36628,2022-05-18T17:10:19.633,COMPARISON,37.9,5.072
34314,2022-04-26T14:24:45.619,COMPARISON,7.8,2.592
35842,2022-05-14T11:42:09.069,DARK,540.1,1.8
36191,2022-05-17T22:24:53.141,FLAT,8.2,4.092
35974,2022-05-17T12:26:43.494,COMPARISON,7.2,2.41
35748,2022-05-11T08:10:24.132,COMPARISON,20.5,0.685
34242,2022-04-25T17:19:48.108,DARK,679.4,2.265
34451,2022-04-26T20:15:20.989,DARK,1477.6,4.925
36557,2022-05-18T14:30:57.974,COMPARISON,7.6,3.8
36473,2022-05-18T12:59:56.416,FLAT,9.2,4.585
34387,2022-04-26T17:42:54.700,COMPARISON,146.0,2.92
36313,2022-05-18T01:48:26.392,COMPARISON,7.3,3.666
36629,2022-05-18T17:11:24.711,COMPARISON,37.8,5.043
36119,2022-05-17T19:50:59.174,COMPARISON,4.0,2.004
34315,2022-04-26T14:25:48.930,COMPARISON,7.6,2.544
35749,2022-05-11T08:12:03.126,FLAT,4.1,2.047
35418,2022-05-02T16:09:18.054,COMPARISON,0.0,0.01
36192,2022-05-17T22:25:51.323,FLAT,7.5,3.727
35975,2022-05-17T12:27:45.977,COMPARISON,6.8,2.272
35843,2022-05-14T11:48:05.552,DARK,551.0,1.837
36558,2022-05-18T14:31:58.575,COMPARISON,7.4,3.702
35492,2022-05-06T10:29:40.220,COMPARISON,0.1,0.034
34243,2022-04-25T17:25:44.152,DARK,816.5,2.722
34388,2022-04-26T17:44:40.476,COMPARISON,152.3,3.045
36314,2022-05-18T01:49:27.775,COMPARISON,7.1,3.539
36474,2022-05-18T13:00:57.309,FLAT,9.0,4.464
36630,2022-05-18T17:12:29.710,COMPARISON,38.2,5.101
36120,2022-05-17T19:51:59.648,COMPARISON,4.0,2.003
34316,2022-04-26T14:26:51.850,COMPARISON,8.0,2.659
35750,2022-05-11T08:28:39.917,FLAT,4.3,2.131
36193,2022-05-17T22:26:49.501,FLAT,7.5,3.752
35976,2022-05-17T12:28:48.765,COMPARISON,6.8,2.248
35844,2022-05-14T11:54:02.067,DARK,613.6,2.045
34244,2022-04-25T17:31:40.060,DARK,1132.3,3.774
36559,2022-05-18T14:33:29.664,COMPARISON,3.9,3.92
34389,2022-04-26T17:46:26.435,COMPARISON,161.7,3.235
36315,2022-05-18T01:50:28.854,COMPARISON,7.0,3.494
36475,2022-05-18T13:01:57.904,FLAT,9.4,4.711
36631,2022-05-18T17:13:49.200,COMPARISON,28.9,3.862
36121,2022-05-17T19:53:00.228,COMPARISON,3.9,1.945
34317,2022-04-26T14:27:54.362,COMPARISON,7.6,2.53
35751,2022-05-11T08:29:37.725,FLAT,4.3,2.14
36194,2022-05-17T22:27:47.279,FLAT,7.5,3.74
35977,2022-05-17T12:29:51.239,COMPARISON,6.5,2.162
35494,2022-05-06T10:32:07.750,COMPARISON,0.1,0.064
35845,2022-05-14T11:59:58.480,DARK,693.7,2.312
36560,2022-05-18T14:34:26.959,COMPARISON,6.9,3.46
34245,2022-04-25T17:37:36.034,DARK,1337.8,4.459
36632,2022-05-18T17:14:54.586,COMPARISON,29.9,3.988
36476,2022-05-18T13:02:58.700,FLAT,9.6,4.766
34390,2022-04-26T17:48:12.104,COMPARISON,167.1,3.341
36316,2022-05-18T01:51:29.932,COMPARISON,6.9,3.463
36122,2022-05-17T19:54:00.713,COMPARISON,4.1,2.066
34318,2022-04-26T14:28:56.572,COMPARISON,7.5,2.483
35752,2022-05-11T08:30:35.538,FLAT,4.3,2.165
35978,2022-05-17T12:30:56.022,COMPARISON,6.7,2.235
36195,2022-05-17T22:28:45.152,FLAT,7.3,3.658
35495,2022-05-06T10:33:06.660,COMPARISON,1.0,0.24
35421,2022-05-02T16:12:12.025,COMPARISON,0.1,0.026
35846,2022-05-14T12:05:54.971,DARK,667.4,2.225
36561,2022-05-18T14:35:27.845,COMPARISON,27.4,3.428
34452,2022-04-26T20:21:17.198,DARK,1659.8,5.533
36633,2022-05-18T17:15:59.572,COMPARISON,29.4,3.918
36477,2022-05-18T13:03:59.702,FLAT,9.3,4.654
36385,2022-05-18T10:20:22.374,COMPARISON,6.8,3.37
34391,2022-04-26T17:49:58.072,COMPARISON,171.0,3.419
36123,2022-05-17T19:55:31.496,COMPARISON,2.3,2.298
34319,2022-04-26T14:29:58.583,COMPARISON,7.7,2.553
34246,2022-04-25T17:43:31.912,DARK,1259.0,4.197
34453,2022-04-26T20:27:13.406,DARK,1723.8,5.746
35753,2022-05-11T08:31:33.551,FLAT,4.2,2.097
35979,2022-05-17T12:31:58.599,COMPARISON,6.2,2.071
36196,2022-05-17T22:29:43.227,FLAT,7.2,3.596
35496,2022-05-06T10:34:24.877,COMPARISON,17.2,0.43
35847,2022-05-14T12:11:51.481,DARK,747.6,2.492
36562,2022-05-18T14:36:30.937,COMPARISON,3.9,3.909
36634,2022-05-18T17:17:04.566,COMPARISON,29.2,3.908
36478,2022-05-18T13:05:00.602,FLAT,9.6,4.774
36386,2022-05-18T10:21:23.552,COMPARISON,6.5,3.238
34392,2022-04-26T17:51:43.852,COMPARISON,176.6,3.532
36124,2022-05-17T19:56:28.785,COMPARISON,4.5,2.221
34320,2022-04-26T14:31:00.594,COMPARISON,7.6,2.519
34454,2022-04-26T21:21:47.507,COMPARISON,28.8,5.762
35754,2022-05-11T08:32:31.465,FLAT,4.3,2.169
36197,2022-05-17T22:33:13.406,DARK,769.3,2.564
35980,2022-05-17T12:33:00.969,COMPARISON,6.3,2.1
35423,2022-05-02T16:14:10.551,COMPARISON,0.0,0.006
35848,2022-05-14T12:17:48.107,DARK,909.6,3.032
34247,2022-04-25T17:49:27.805,DARK,1083.9,3.613
36563,2022-05-18T14:37:28.322,COMPARISON,7.3,3.654
36635,2022-05-18T17:18:09.761,COMPARISON,28.1,3.746
36479,2022-05-18T13:06:01.503,FLAT,9.6,4.802
36387,2022-05-18T10:22:24.730,COMPARISON,7.1,3.527
