taiObs,visit,dataType,scale,rate
2022-05-02 08:33:43.416,35312,COMPARISON,2.3,0.234
2022-05-02 08:34:52.650,35313,COMPARISON,2.5,0.248
2022-05-02 08:36:01.781,35314,COMPARISON,2.4,0.24
2022-05-02 08:37:10.909,35315,COMPARISON,2.5,0.25
2022-05-02 08:38:20.138,35316,COMPARISON,2.5,0.249
2022-05-02 08:39:29.570,35317,COMPARISON,2.8,0.282
2022-05-02 08:40:39.004,35318,COMPARISON,2.7,0.267
2022-05-02 08:41:48.039,35319,COMPARISON,2.6,0.259
2022-05-02 08:42:57.977,35320,COMPARISON,2.7,0.273
2022-05-02 08:44:07.418,35321,COMPARISON,2.7,0.268
2022-05-02 08:45:16.754,35322,COMPARISON,2.7,0.273
2022-05-02 08:46:25.884,35323,COMPARISON,2.7,0.265
2022-05-02 09:47:49.458,35332,COMPARISON,0.0,0.017
2022-05-02 09:58:03.738,35342,COMPARISON,0.0,0.004
2022-05-02 10:54:34.548,35379,COMPARISON,0.0,0.013
2022-05-02 10:55:35.875,35380,COMPARISON,0.1,0.032
2022-05-02 11:04:48.348,35389,COMPARISON,0.0,0.0
2022-05-02 11:05:49.554,35390,COMPARISON,0.0,0.021
2022-05-02 11:06:50.869,35391,COMPARISON,0.0,0.02
2022-05-02 12:42:15.889,35394,COMPARISON,6.9,0.346
2022-05-02 12:44:22.039,35396,COMPARISON,0.0,0.014
2022-05-02 12:45:29.061,35397,COMPARISON,6.8,0.342
2022-05-02 12:48:42.520,35400,COMPARISON,7.0,0.349
2022-05-02 12:51:56.573,35403,COMPARISON,6.6,0.332
2022-05-02 15:55:42.196,35404,COMPARISON,0.0,0.022
2022-05-02 16:09:18.054,35418,COMPARISON,0.0,0.01
2022-05-02 16:12:12.025,35421,COMPARISON,0.1,0.026
2022-05-02 16:14:10.551,35423,COMPARISON,0.0,0.006
2022-05-02 16:15:08.666,35424,COMPARISON,0.0,0.005
2022-05-02 16:17:04.408,35426,COMPARISON,0.0,0.004
2022-05-06 09:06:23.166,35481,COMPARISON,0.0,0.007
2022-05-06 09:30:41.167,35482,COMPARISON,16.1,0.403
2022-05-06 09:45:09.299,35483,COMPARISON,0.5,0.154
2022-05-06 09:46:08.616,35484,COMPARISON,0.8,0.212
2022-05-06 10:23:47.907,35486,COMPARISON,0.1,0.04
2022-05-06 10:25:45.142,35488,COMPARISON,0.1,0.035
2022-05-06 10:27:42.983,35490,COMPARISON,0.1,0.048
2022-05-06 10:29:40.220,35492,COMPARISON,0.1,0.034
2022-05-06 10:32:07.750,35494,COMPARISON,0.1,0.064
2022-05-06 10:33:06.660,35495,COMPARISON,1.0,0.24
2022-05-06 10:34:24.877,35496,COMPARISON,17.2,0.43
2022-05-06 10:36:41.110,35498,COMPARISON,0.2,0.101
